question,ground_truth,model_answer,confidence,is_correct
Probably best remembered as being chief presenter of ITV's News At Ten between 1976 and 1991which British journalist and broadcaster sadly passed away on July 20th 2012?,ALASTAIR BURNETT,Alastair Stewart,0.73,False
What was the more famous two word name of American singer and ukele player who had the real name Herbert Khaury. In 1968 he released a classic version of a popular song which he sang in a high pitched voice?,TINY TIM,Donovan Leitch,0.67,False
"Which boy's name, according to website BabyCenter, is the most globally popular for the eigth year in a row?",AIDEN,Oliver,0.85,False
Give the title of the first UK No 1 hit single of the group 'Take That'?,PRAY,Pray,0.73,True
Which group had a number one hit in 2009 with 'I Gotta Feeling'?,BLACK EYED PEAS,The Black Eyed Peas,0.83,True
Cathay is a poetic name for which far eastern country?,CHINA,China,0.72,True
Russia's TU-144 plane was the broad equivalent of which western airliner?,CONCORDE,Concorde,0.74,True
Which 1979 science fiction film was at one time going to be called Star Beast?,ALIEN,Alien,0.83,True
The lack of which vitamin caused scurvy in the early days of the Navy ?,VITAMIN C,Vitamin C,0.79,True
What type of beverage does a barista prepare and serve ?,COFFEE,"coffee, tea, or other specialty drinks",0.95,True
What colour are Hydrangea flowers in acidic soil ?,BLUE,Blue,0.83,True
For how long did the Sleeping Beauty fall asleep according to most versions of the fairy story ?,100 YEARS,100 years,0.59,True
What in the human body are enclosed in the Pleura ?,LUNGS,Lungs and the heart,0.78,True
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",TONY BLAIR,Robin Cook,0.85,False
Which film director visited the deepest point on Earth in 2012 ?,JAMES CAMERON,James Cameron,0.83,True
Which Scottish University was established as the world's first Mechanics Institute in 1821 ?,HERIOT-WATT,Glasgow University,0.65,False
What type of oil is traditionally used to protect cricket bats ?,LINSEED,Linseed oil,0.72,True
In which year did both T-Rex's Marc Bolan and Elvis Presley die ?,1977,1977,0.58,True
Who wrote the classic ghost story The Monkey's Paw ?,(W.W.) JACOBS,W.B. Yeats,0.42,False
"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",TOAD,Toad,0.85,True
Who is the current Secretary-General of the United Nations ?,BAN KI MOON,António Guterres,0.95,False
In which month is the Gaelic festival of Beltane traditionally celebrated ?,MAY,May,0.85,True
Who was named the best player at Euro 2012 by UEFA ?,(Andres) INIESTA,Andres Iniesta,0.79,True
Greek philosopher Socrates was sentenced to death by drinking which kind of poison ?,HEMLOCK,hemlock,0.93,True
The Uffizi and the Bargello are among the museums of art in which European city ?,FLORENCE,Florence,0.89,True
What collective noun is normally used to describe a group of finches or hummingbirds ?,A CHARM,a charm,0.79,True
"What term describes a vertical stone bar separating the panes of a window, often found in Gothic architecture ?",MULLION,mullion,0.92,True
In which TV establishment were Miss Gatsby and Miss Tibbs residents ?,FAWLTY TOWERS,EastEnders,0.57,False
Which Disney character is brought to life by the Blue Fairy ?,PINOCCHIO,Pinocchio,0.85,True
Which entertainer was known as ' The Brazilian Bombshell ' ?,CARMEN MIRANDA,Wanda de Sah,0.62,False
' Ophidian ' refers to what kind of creatures ?,SNAKES,Snakes,0.92,True
Which Cricket county's ' Twenty / 20 ' team are known as the ' Foxes ' ?,LEICESTERSHIRE,Leicestershire,0.79,True
"In the novel Strange Case of Dr Jekyll and Mr Hyde , what is Dr Jekyll's first name ?",HENRY,Henry,0.79,True
Which Canadian darts player is nicknamed ' Darth Maple ' ?,JOHN PART,Darin Young,0.43,False
What is the name of Tokyo's seaport ?,YOKOHAMA,Tokyo Port (or Tokyo International Passenger Terminal),0.72,False
In which city was the rock star Michael Hutchence found dead in 1997 ?,SYDNEY,Sydney,0.83,True
Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?,BARACK OBAMA,Barack Obama,0.8,True
Which type of hat takes its name from an 1894 novel by George Du Maurier where the title character has the surname O'Ferrall ?,TRILBY,Dulcimer,0.0,False
Which British band reached number one in the UK pop charts in June 1983 with the record 'Every Breath You Take'?,POLICE,The Police,0.95,True
"""In the story of Jason and the Argonauts, what was the name of the Greek god who rises from the sea and holds the rocks in place in order to let the ship """"The Argo"""" to pass ?""",TRITON,Atlas,0.73,False
"Ridden by jockey Brian Fletcher, which horse won the 1968 Grand National at odds of 100 / 7 ?",RED ALLIGATOR,Red Alligator,0.6,True
"Living from 1924 to 2006 what was the name of the Detective Police Superintendant of Scotland Yard who famously tracked down Great Train Robber Ronnie Biggs after he escaped from prison in 1965, although he had to leave without arresting him ?",Jack SLIPPER,Peter Armstrong,0.59,False
"Which Spanish soup containing onions, tomatoes, peppers and cucumbers and traditionally thickened with stale breadcrumbs is always served cold ?",GAZPACHO,Gazpacho,0.92,True
"Name the year - Norfolk farmer Tony Martin shootsand kills a 16 year old burglar in his farmhouse, UK fuel protesters almost bring the country to a standstill and Paula Yates and Robin Day both sadly die ?",2000,2000,0.79,True
"Recently appointed, what is the name of the current manager of Southampton Football Club ?",Mauricio POCHETTINO,Ralph Hasenhuttl,0.79,False
"Alternatively known as Austrpphlebia Costalis, what type of insect is a Southern Giant Darner ?",DRAGONFLY,Dragonfly,0.73,True
"Which political party, founded in 1967, has its headquarters in London and currently has the leader Ian Edward ?",NATIONAL FRONT,British National Party (BNP),0.57,False
Darwin is the capital of which Australian state ?,NORTHERN TERRITORY,Northern Territory,0.42,True
Which toy won the award for Toy of the Year in 1997 ? It came under controversy in 1999 when Conservative pundit Jerry Falwell claimed that one of them was a homosexual model for children.,TELETUBBIES,Teeny Beanie Babies,0.67,False
"In the human body, what eight letter word is used to describe the purulent inflammation of the gums and tooth sockets often leading to lossening of the teeth ?",PYORRHEA,Periodontitis,0.73,True
Which famous 1847 novel by Charlotte Bronte features a character named Edward Rochester who resides at Thornfield Hall?,JANE EYRE,Jane Eyre,0.95,True
"Whic famous 1814 novel by Jane Austen features a character named Fanny Price, the second eldest of nine children?",MANSFIELD PARK,Mansfield Park,0.79,True
"""Which energy drink, introduced in 1987 has the advertising slogan """"gives you wings""""?""",RED BULL,Red Bull,0.92,True
"Which film of 1988 sees the lead male character, named Dan Gallagher, terrorised by an obsessed woman named Alex Forest, an editor for a publishing company?",FATAL ATTRACTION,Working Girl,0.72,False
"Irish writer and poet Oscar Wilde, who died in 1900, is buried in which European country?",FRANCE,Ireland,0.95,False
"Which tennis player played in three consecutive men's singles finals at Wimbledon between 1963 and 1965, losing on all three occasions?",FRED STOLLE,Rod Laver,0.72,False
"With which famous male criminal would you associate the address 25 Cromwell Street, Gloucester?",FRED WEST,Fred West,0.79,True
Which of the Noble Gases takes its name from the Greek for 'hidden' ?,KRYPTON,Argon,0.79,False
What nationality was the tennis player Judy Teggart who lost to Billie Jean King in the 1968 Ladies Single Final at Wimbledon?,AUSTRALIAN,English,0.62,False
Which ex British daily newspaper was first published in 1968 and featured the front page headline 'Second Spy Inside GCHQ'? It cost 18 pence and was owned by Eddy Shah a Manchester based businessman.,TODAY,Today,0.67,True
"Which Scottish mathematician, physicist, astronomer and astrologer who lived from 1550 to 1617is widely regarded as being the discoverer of logarithms?",John NAPIER,John Napier,0.79,True
"Which famous stage production, first seen in 1973, contains a scruffily dressed hunchback named Riff Raff?",THE ROCKY HORROR SHOW,The Rocky Horror Show,0.75,True
"Introduced in 1940, the 'Local Defence Volunteers' later became known by what two word name?",HOME GUARD,Home Guard,0.95,True
"Which professional golfer has three nicknames, one of which is 'The wild Thing'?",JOHN DALY,"Niklas Lundeberg's nickname for Bubba Watson is indeed 'The Wild Thing', but he also has two other notable nicknames.",0.67,False
Three Men in a Boat was a famous novel of 1889 by which famous author?,JEROME K JEROME,Jerome K. Jerome,0.85,True
What was the name of the female that politician John Profumo had an affair with which ended his political career in 1963?,CHRISTINE KEELER,Christine Keeler,0.85,True
"Which pop group in October 1974 reached NumberOne in the UK charts with Sad, Sweet Dreamer?",SWEET SENSATION,Joanne Castle and The Sweet Dreams,0.57,False
Which six letter Japanese word describes a class of professional women in Japan who are trained from girlhood to dance and entertain social gatherings of men?,GEISHA,Geisha,0.83,True
The town of Keswick in Cumbria lies just north of which body of water?,DERWENT WATER,Derwentwater,0.72,True
"With a population of almost 930,000 inhabitants, what is the capital city of Nicaragua?",MANAGUA,Managua,0.89,True
'The Slave of Duty' is the alternative name for which Gilbert and Sullivan opera?,PIRATES OF PENZANCE,The Yeomen of the Guard,0.78,False
Edward the Black Prince was the father of which English King?,RICHARD II,Richard II,0.72,True
The book The Red badge of Courage was set during which war?,AMERICAN CIVIL WAR,American Civil War,0.85,True
What was the name of the influential book club founded by Victor Gollancz in 1936?,THE LEFT BOOK CLUB,Left Book Club,0.79,True
"""Which institution is known as 'The Old Lady of Threadneedle Street""""?""",THE BANK OF ENGLAND,Bank of England,0.95,True
In which Middle Eastern country is the ancient city of Petra ?,JORDAN,Jordan,0.95,True
"Barnacles , crabs and lobsters belong to which class of marine life ?",CRUSTACEANS,Malacostraca,0.73,False
What invention by a Mr Schick in 1931 might be said to have changed the face of man ?,ELECTRIC RAZOR,Razor,0.72,True
Who wrote the short story on which the much admired film The Shaw - shank Redemption was based ?,STEPHEN KING,Stephen King,0.83,True
"Which anti-conformist movement in 1950's fashion began in New York's West Village and was characterised by black slim trousers , thick sweaters and untucked shirts ?",BEATNIK,The Beat Generation,0.72,False
"Comprising around two-thirds of the Earth's mass , what is found between the core of the Earth and its crust ?",THE MANTLE,mantle,0.92,True
"Which opera by Rossini , his last , is based on a play by Schiller ?",WILLIAM TELL,William Tell,0.85,True
The name of what type of pasta comes from the Italian for ' ridged ' ?,RIGATONI,Rigatoni,0.72,True
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",HAMLET,Hamlet,0.83,True
Which geological period came between the Triassic and Cretaceous periods?,JURASSIC,Jurassic period,0.92,True
Jupiter ; Saturn and Uranus are three of the so-called ' gas giants ' in our Solar System: what is the fourth ?,NEPTUNE,Neptune,0.78,True
"Which French vessel was the first ocean-going liner to exceed 1,000 feet in length ?",NORMANDIE,Normandie,0.79,True
Who wrote the title song for the James Bond film From Russia With Love?,LIONEL BART,Matt Monro,0.85,False
Which German word meaning 'armour' was applied to certain army divisions in World War II ?,PANZER,Panzer,0.75,True
"""In 1965, who became the first American astronaut to """"walk in space""""?""",(Edward) WHITE,Ed White,0.83,True
Name the town in the vicinity of Versailles famous for its hard-paste porcelain.,SEVRES,Sèvres,0.79,True
On which of the hills of ancient Rome were the main residences of the Caesars?,PALATINE,Palatine Hill,0.78,True
Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,Fiddler on the Roof,0.73,False
Which actor/comedian/quiz presenter was once a professional footballer with Brentford?,BRADLEY WALSH,Ben Shephard,0.63,False
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,Ear,0.95,True
"What was the name of the African, American civil rights activist dubbed ‘ The first lady of civil rights ‘ who on December 1st 1955 refused to obey bus driver James Blake’s order that she gave up her seat in the coloured section of the bus to a white passenger because the white section was full ?",ROSA PARKS,Rosa Parks,0.95,True
Which English football club used to play their home matches at The Old Show Ground until moving to their current stadium in 1988 ?,SCUNTHORPE UNITED,Plymouth Argyle F.C.,0.73,False
In which athletics event has the Fosbury Flop been much adopted since 1968 ?,HIGH JUMP,High Jump,0.82,True
What is the country of origin of the supermarket chain Aldi ?,GERMANY,Germany,0.87,True
What was the title of the fourth 'Alien' film starring Sigourney Weaver ?,ALIEN RESURRECTION,Aliens,0.85,False
Who recorded the original version of the song When A Man Loves A Woman ?,PERCY SLEDGE,Percy Sledge,0.78,True
Which acid is found in rhubarb leaves ?,OXALIC,Oxalic acid,0.75,True
Which was the only team that England did not beat in their qualifying campaign for the 2014 Soccer World Cup ?,UKRAINE,Ukraine,0.79,True
"""Which garden feature is a structure consisting of a framed passageway covered with climbing and trailing plants and has a name derived from the Latin for """"projecting roof"""" ?""",PERGOLA,Arbor,0.56,True
Who wrote Fantasia on a Theme by Thomas Tallis ?,RALPH VAUGHAN WILLIAMS,Ralph Vaughan Williams,0.83,True
What is the official residence of the Lord Mayor of London ?,MANSION HOUSE,Mansion House,0.83,True
The multi-millionaire Hans Rausing made his fortune in what sort of industry ?,PACKAGING,pharmaceuticals,0.63,False
"In the acronym REM, which describes stage of sleep during which dreams occur, for what does the R stand ?",RAPID,Rapid Eye Movement,0.92,True
Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,MURIEL SPARK,Muriel Spark,0.95,True
Flemish is almost identical in form to which other language ?,DUTCH,Dutch,0.78,True
Which movie won the Oscar for Best Film at the 2013 Academy Award ceremony ?,ARGO,Argo,0.83,True
"In Indian cookery, dishes known as 'tandoori' are so named because their preparation involves a tandoor. What is a tandoor ?",AN OVEN,a clay oven,0.8,True
What is the name of the island that separates the two largest waterfalls at Niagara ?,GOAT ISLAND,Grand Island,0.73,False
"The astronauts Taylor, Landon and Donovan are characters in which 1968 science fiction film ?",PLANET OF THE APES,2001: A Space Odyssey,0.79,False
What in the world of the internet is an ISP ?,INTERNET SERVICE PROVIDER,Internet Service Provider,0.92,True
By what name is the tree Fraxinus excelsior more commonly known ?,ASH,Ash Tree,0.78,True
What is the surname of singer Florence of 'Florence and the Machine' ?,WELCH,Welch,0.79,True
"In the Hans Christian Andersen tale, what item could a princess feel through 20 mattreses ?",A PEA,a pea,0.92,True
What was the name of the German encryption machine whose code was deciphered at Bletchley Park during World War II ?,ENIGMA,Enigma Machine,0.95,True
Which state did frontiersman Davy Crockett represent in the US House of Represenatives ?,TENNESSEE,Tennessee,0.92,True
Some Americans claim to have seen a Sasquatch; by what name is it better known ?,BIGFOOT,Bigfoot,0.82,True
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,SPAIN,Spain,0.73,True
Which French author wrote the 1909 novel The Phantom Of The Opera ?,Gaston LEROUX,Gaston Leroux,0.73,True
George Washington Goethals was the chief engineer for which construction that was completed In 1914 ?,PANAMA CANAL,The Panama Canal,0.83,True
What was the surname of the 19th president of the USA who had the first christian name Rutherford ?,HAYES,Hayes,0.95,True
What was the name of the American doctor who in 2011 was sentenced to four years in Jail after being convicted of the involuntary manslaughter of pop star Michael Jackson ?,Conrad MURRAY,Conrad Murray,0.92,True
Which 1988 children’s novel by Roald Dahl features a hostile school headmistress named Miss Trunchbull ?,MATILDA,Matilda,0.95,True
Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,GEORGE ORWELL,George Orwell,0.95,True
"Opened by Sir Ranulph Fiennes, The Drumnadrochit Hotel situated in the Scottish Highlands is a tourist attraction that centres on which famous Scottish figure ?",LOCH NESS MONSTER,Loch Ness Monster,0.71,True
What was the name of the Russian Submarine that sank in the Barents Sea in the year 2000 ?,KURSK,Kursk,0.72,True
Queen Joan Of Navarre was the wife of which English king ?,HENRY IV,Henry IV,0.72,True
Which letter of the Greek alphabet when written looks like a capital P ?,RHO,Rho (ρ),0.89,True
"""Which North African food dish made of coarsely ground wheat takes it’s name from the Arabic word Kaskasa meaning """"To Pound"""" ?""",COUSCOUS,Couscous,0.79,True
Which island country was the main setting for the James Bond film Dr No ?,JAMAICA,Jamaica,0.73,True
Which Australian won the men’s singles title at Wimbledon in 1956 and 1957?,LEW HOAD,Lew Hoad,0.73,True
Which British group who had most success in the 1970’s were fronted by lead singer Lee Brilleaux ?,DR FEELGOOD,Dr. Feelgood,0.72,True
Sixty year old Cristina Fernandez de Kirchner is the current president of which South American country ?,ARGENTINA,Argentina,0.8,True
"In the human body, what seven letter word describes the loss of the sense of smell ?",ANOSMIA,anosmia,0.79,True
"""""""Serpula Lacrymans"""" is the technical name for which decay of seasoned timber caused by a fungi that consume the cellulose of wood, leaving a soft skeleton which is readily reduced to powder ?""",DRY ROT,rot,0.67,True
Which English producer and screenwriter is responsible for the creation of the fictional school Grange Hill ?,Phil REDMOND,Christopher Bond,0.56,False
The 1964 film A Shot In The Dark was the sequel to which film of the same year ?,THE PINK PANTHER,A Shot In The Dark is a sequel to the 1963 film 'The Man From U.N.C.L.E.',0.62,False
"Which two word named plant, also known as Dionaea Muscipala is characterised by having hinged two lobed leaves that snap closed when the sensitive hairs on it's surface are touched ?",VENUS FLYTRAP,Venus Flytrap,0.89,True
Which English mechanical and civil engineer who died in 1859 was responsible for engineering the Great Western Railway and designing the Clifton Suspension Bridge in Bristol ?,Isambard Kingdom BRUNEL,Isambard Kingdom Brunel,0.95,True
Which one word appeared as main headline news on the front page of the Sun newspaper the day after the sinking of the Belgrano in May 1982 ?,GOTCHA,ARGENTINA,0.73,False
"""Which US City has the nickname """"Beantown"""" ?""",BOSTON,Boston,0.9,True
Johnny Weissmuller and Ron Ely are famous for playing which character on screen ?,TARZAN,Tarzan,0.79,True
Which major computer language shares it's name with an Indonesian Island ?,JAVA,Java,0.75,True
What six letter word is used to describe the soft skin that covers a deer's antlers as they develop ?,VELVET,velvet,0.78,True
What name links the name of an act that once represented the UK in the Eurovision Song contest and the name of the elephant that in 1969 famously defaced and dragged the Keeper through the Blue Peter studio ?,LULU,Sultan Murad,0.42,False
"Covering an area in excess of 30,000 square miles, in which country can you find the 'Dasht  e Kavir Desert' the largest to lie wholly in it's own country?",IRAN,Iran,0.88,True
Whom did Andy Murray defeat in the Wimbledon men's singles final in 2013 ?,(Novak) DJOKOVIC,Novak Djokovic,0.83,True
What's the name of the intelligent talking horses in Swift's Gulliver's Travels ?,HOUYHNHNMS,Houyhnhnm,0.95,True
In which contact sport do two rikishi compete inside a dohyo ?,SUMO WRESTLING,Sumo wrestling,0.95,True
What do students at Oxford call their formal academic attire ?,SUBFUSC,Subfusc,0.85,True
"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",GORDON JACKSON,David Robb,0.79,False
What Latin phrase indicates that an aristocrat holds a title in her or his own right ?,SUO JURE,per se,0.79,False
Which is the most southerly Irish city ?,CORK,Cork,0.85,True
Which French phrase commonly used in English means literally 'already seen' ?,DEJA VU,deja vu,0.83,True
Which country singer/songwriter was known as the 'Man in Black' ?,JOHNNY CASH,Johnny Cash,0.95,True
From which other card game is bridge derived ?,WHIST,Whist,0.83,True
How is seasonal allergic rhinitis more commonly known ?,HAY FEVER,hay fever,0.95,True
In which year was the ten shilling note withdrawn in the UK following the introduction of the 50p coin ?,1970,1992,0.53,False
What term is given to a piece of artwork that is painted directly onto a wall or architectural feature ?,MURAL,Murals,0.79,True
What type of creature is a margay ?,(Wild) CAT,A small wild cat native to Central and South America.,0.72,True
Of which organ is otitis an inflammation ?,EAR,Ear,0.95,True
What is Marge Simpson's maiden name ?,BOUVIER,Simpson,0.8,False
What was the name of the secret society which led a revolt of the Kikuyu people of Kenya in 1952 ?,MAU MAU,Mau Mau,0.79,True
"In the 1970's , who became the first actor to be raised to the peerage ?",(LORD) OLIVIER,Michael Caine,0.72,False
Which sidekick rode a horse called Scout ?,TONTO,Opie from the TV show The Virginian,0.73,False
Who was the first Republican President of the United States ?,ABRAHAM LINCOLN,Abraham Lincoln,0.95,True
"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",SARAH,Sarah,0.95,True
Which TV creatures ate Blue String Pudding ?,THE CLANGERS,Wallace and Gromit,0.73,False
Which national anthem was originally called the 'War Song for the Rhine Army'?,MARSELLAISE,Deutschlandlied (Germany),0.7,False
What is the inscription on the George Cross ?,FOR GALLANTRY,For Gallantry,0.73,True
What nationality was the astronomer Copernicus ?,POLISH,Polish,0.83,True
Who wrote the musical Blood Brothers ?,WILLY RUSSELL,"Wilfred Owen's friend, Willy Russell (not to be confused with Wilfred Owen himself)",0.59,True
What name is given to the study of insects ?,ENTOMOLOGY,Entomology,0.95,True
Give a year in the life of the artist Diego Velazquez.,1599-1660,"1630, when he was about 8 years old, is the earliest recorded date associated with his work.",0.59,False
"What is the name of the estuary north of Bordeaux in SW France, formed by the confluence of the Garonne and Dordogne rivers ?",GIRONDE,Gironde Estuary,0.85,True
"In the West Indies, what is the collective name for Cuba, Hispaniola, Jamaica and Puerto Rico ?",GREATER ANTILLES,Greater Antilles,0.72,True
"Which superhero film, produced by Marvel Studios and written and directed by Joss whedon, was the highest grossing film world-wide in 2012 ?",THE AVENGERS,The Avengers,0.95,True
"Jmaes Righton, vocalist of the new rave band Klaxons, married which 28 year old British actress in a low key ceremony in France in May this year ?",KEIRA KNIGHTLEY,Jessica Hassall,0.42,False
Which four word motto appeared on US banknotes for the first time on this day in 1982 ?,IN GOD WE TRUST,In God We Trust,0.85,True
"Who was manager of Sheffield Wednesday when they won the League Cup in 1991, beating Manchester United in the final ?",RON ATKINSON,Howard Kendall,0.65,False
"Since 1998, teams in which Olympic sport have included a libero, who wears a different colour shirt from his or her team mates and can swap in and out of the side freely between points ?",VOLLEYBALL,Volleyball,0.89,True
Who knocked Andy Murray out of the 2013 US Open in the quarter-finals? (Surname only will do),(Stanislas) WAWRINKA,Ferrer,0.79,False
"By whatname are the four novels of Paul Scott best known, the last of which is entitled A Division of Spoils ?",RAJ QUARTET,The Raj Quartet,0.83,True
What is Koo Stark's real first name ?,KATHLEEN,Katharine,0.65,True
"Arctic King, Saladin and Tom Thumb are which types of vegetable?",Lettuce,carrot varieties,0.43,False
Which Gilbert and Sullivan operetta is sub-titled The Slave of Duty?,The Pirates of Penzance,Patience,0.8,False
"Apart from a battle, what did Nelson lose at Tenerife in 1797?",His arm,an armada,0.73,False
Who became Germany's first female chancellor?,Angela Merkel,Angela Merkel,0.95,True
Who wrote The Railway Children?,Edith Nesbit,E. Nesbit,0.83,True
Turin lies on which river?,Po,Po River,0.85,True
Which UK store was first to have an escalator installed?,Harrods,Selfridges,0.62,False
"What is the second most abundant element in the Earth's crust, representing approximately a quarter of its mass?",Silicon,Oxygen,0.92,False
"In physics, 'the rate of change of position' is a basic definition of what term?",Velocity,velocity,0.95,True
The port of Plymouth is in which English county?,Devon,Devon,0.85,True
A dendogram is a diagram of what shape?,Tree,a tree,0.78,True
Who became the ruler of Russia in 1964 until his death in 1982?,Leonid Brezhnev,Leonid Brezhnev,0.95,True
"Name BP's catastrophic Gulf of Mexico oil rig, lost off the US Louisiana coast?",Deepwater Horizon,Deepwater Horizon,0.95,True
FIDE (Federation Internationale Des Echecs) is the world federation of which activity?,Chess,Chess,0.95,True
English economist and physician Nicholas Barbon helped to pioneer which type of insurance in 1666?,Fire insurance,Fire Insurance,0.79,True
"Dame Ninette de Valois, the eminent ballet teacher, director, and founder of The Royal Ballet and Birmingham Royal Ballet, was born in which country?",Ireland,United Kingdom,0.95,False
"Across Eastern Europe, the Middle East and parts of Asia, what are known as keftes or kufta, and similar words derived from Persian, kuftan, meaning beat or grind?",Meatballs,Meatballs,0.72,True
A sophomore is a student in which year of a US college?,Second,Second year,0.83,True
Cape Wrath is on the coast of which country?,Scotland,"United Kingdom, specifically Scotland",0.85,True
What would a person normally do with perique?,Smoke it,Smoke it in pipes or blend with other tobaccos to add depth and spice.,0.78,True
What is the international telephone dialling code for Germany?,49,+49,0.95,True
"A sequence of numbers beginning 0, 1, in which each number is the sum of the previous two numbers is named after what Italian mathematician who devised the system?",Fibonacci,Fibonacci,0.95,True
"Fines of £5.3m, criticized as paltry and insulting, were imposed on Shell, Total and BP, five years after the huge 2005 explosion and fire at what UK oil storage depot?",Buncefield,Stanlow,0.67,False
Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,Goldtrail,JMC Holidays,0.79,False
"What is Nashville's famous university in Tennessee US, named after the shipping and railroad magnate nicknamed Commodore?",Vanderbilt University,Vanderbilt University,0.83,True
"Said to refer erroneously to the temperature at which book paper catches fire, the title of Ray Bradbury's 1953 novel about a futuristic society in which reading books is illegal, is called 'Fahrenheit...' what? 972; 451; 100; or 25?",451,451,0.95,True
"In climatology, pluvial relates to what?",Rainfall,rainfall,0.72,True
Jenny Shipley was the first female prime minister of which country?,New Zealand,New Zealand,0.95,True
"A kittel, or kitl, is what, traditionally worn by male Jews?",Burial shroud,a skullcap,0.79,False
How many Oscars did the 1994 film 'Forrest Gump' win?,Six,6,0.85,True
"In geology, a coomb or combe is a type of what?",Valley,valley,0.92,True
Which designer is famous for his/her red-soled footwear?,Christian Louboutin,Christian Louboutin,0.93,True
Vermillion is a shade of which colour?,Red,Red,0.95,True
The port of Mocha is in which country?,Yemen,Yemen,0.73,True
"London's city bike rental scheme, which launched in 2010, is based on the Bixi project which introduced bike rental to which city?",Montreal,Montreal,0.72,True
What number has the square root (to the nearest four decimal places) of 1.4142? 1; 2; 3; or 4?,2,2,0.95,True
The Earth's Equator is approximately how many millions of metres in length?,40,"40,075",0.92,True
How many pennies were in a British pre-decimal pound? 120; 200; 204; or 240?,240,240,0.83,True
How many legs (including arms or pincers according to certain definitions) does a crab have?,10,10,0.79,True
"2010 UK government figures showed that in 264,000 households no one had ever had what?",A job,access to the internet,0.79,False
What standard test characteristic has been produced in genetically modified laboratory animals so that researchers can see easily that genetic modification has occurred?,Glow in the dark,Green fluorescent protein (GFP),0.78,True
Which English novelist is best known for his Father Brown detective series?,G K Chesterton,G.K. Chesterton,0.95,True
What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,General Belgrano,General Belgrano,0.95,True
In 2010 British ex-soldier Ed Stafford became the first person (ever known) to walk the entire length of what river?,Amazon,The River Amazon,0.79,True
The first Apollo moon landing?,11,Apollo 11,0.95,True
Planets in our solar system?,8,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune",0.95,True
Traditionally (UK/US) the years of a pearl wedding anniversay?,30,30th and 35th year,0.65,True
Legs of the largest group of species on earth?,6,Arthropods have six legs.,0.78,True
"Considered unlucky in Italy, probably because its Roman numerals are an anagram of a Latin word which can mean loosely 'I have lived', implying 'I am dead' ?",17,Seven,0.57,True
"At the 2010 MTV Video Music Awards, Lady Gaga wore a controversial dress made of what?",Raw meat,meat,0.95,True
What in the human body is the calcaneum?,Heel bone,heel bone,0.78,True
EU president Herman van Rumpuy published a book of what?,Haiku,his childhood,0.43,False
Pityriasis Capitis is the technical term for?,Dandruff,Ringworm of the scalp,0.75,False
Who did US Forbes magazine rank in 2010 as the most powerful woman in the world?,Michelle Obama,Angela Merkel,0.73,False
Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?,Henkel,Henkel,0.83,True
What is the collective term for a group of Morris dancers?,Side,,0.0,False
"In Japan, what is a hibachi used for?",Cooking,a type of Japanese grill or cooking surface,0.78,True
"What is harvested from Hevea brasiliensis, whose other plant names separately feature the words Para and India?",Latex,Rubber,0.95,True
"What gas, symbol F, is the most reactive of all chemical elements?",Fluorine,Fluorine,0.95,True
David John Moore Cornwell is better known as what spy-story writer?,John Le Carré,John le Carré,0.95,True
What animals does a mahout work with?,Elephants,Elephants,0.95,True
The Colorado beetle attacks what crop?,Potato,Potato,0.76,True
What is the pole called which is used for propelling a barge or punt?,A quant,Pole,0.8,False
"Name the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961?",Rudolph Nureyev,Nureyev,0.95,True
"What was the US spacecraft first to return images of Mars to Earth, in July 1965?",Mariner 4,Mariner 4,0.73,True
In which country were the 1948 Winter Olympics held?,Switzerland,Switzerland,0.8,True
Who was the longest reigning British king?,George III,"Queen Victoria's reign is often considered long, but it is actually Queen Elizabeth II who holds this record.",0.79,False
'The Umbrellas' is the work of which French impressionist?,Renoir,"Monet and Renoir, but also possibly Pierre-Auguste Cot for some works, however most notable are Claude Monet's works under this title",0.42,True
Dilma Rousseff was elected the first female president of which country in October 2010?,Brazil,Brazil,0.95,True
Which 1969 film starring Jane Fonda is based on the novel by Horace McCoy about a marathon dance contest?,They Shoot Horses Don't They?,"They Shoot Horses, Don't They?",0.85,True
How many suspects are in a normal game of Cluedo?,Six,6,0.85,True
What colour is the inner ring of an Olympic archery target?,Gold,Gold,0.73,True
